Gender,Age,Under 5 Years,5 to 13 Years,14 to 17 Years
F,26,,11,
F,27,,,
F,28,,,
F,29,,,
F,30,,,
F,31,,,
F,32,,3,
F,33,,16,
F,34,,16,
F,35,,15,
F,36,,16,
F,37,,29,
F,38,,29,
F,39,,45,
F,40,,32,
F,41,,49,
F,42,,42,
F,43,,44,
F,44,,42,
F,45,,56,
F,46,,43,
F,47,,51,
F,48,,53,
F,49,,52,
F,50,,39,
F,51,,35,
F,52,,41,
F,53,,48,
F,54,,29,
F,55,,28,
F,56,,29,
F,57,,24,
F,58,,19,
F,59,,16,
F,60,,17,
F,61,,8,
F,62,,14,
F,63,,6,
F,64,,6,
F,65,,11,
F,66,,,
F,67,,,
M,26,1,11,4
M,27,1,6,3
M,28,,3,1
M,29,1,12,8
M,30,2,6,12
M,31,,19,6
M,32,4,23,16
M,33,9,10,16
M,34,10,14,20
M,35,8,15,25
M,36,20,20,30
M,37,14,30,37
M,38,14,22,49
M,39,18,24,51
M,40,24,30,49
M,41,26,28,56
M,42,18,40,71
M,43,35,38,79
M,44,29,36,81
M,45,25,39,72
M,46,38,42,78
M,47,24,36,76
M,48,19,43,69
M,49,36,27,74
M,50,62,21,54
M,51,52,17,41
M,52,43,12,44
M,53,53,17,42
M,54,26,10,32
M,55,35,9,36
M,56,26,10,38
M,57,27,8,23
M,58,16,9,20
M,59,5,24,24
M,60,2,13,14
M,61,3,15,20
M,62,1,10,16
M,63,,9,15
M,64,,2,
M,65,,13,
M,67,,2,
M,68,,,
M,70,,,
M,73,,1,
